SERVIÇO,VALOR DO SERVIÇO,PRODUTO,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,DOCE,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,SALGADO,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,BEBIDA,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,FUNCIONARIO,PORCENTAGEM,FUNCAO,TAXA
Corte,"R$ 60,00",Balm Midtown B.URB,"R$ 65,00","R$ 37,00","R$ 28,00",PÃO DE MEL BRIGADEIRO URITS,"R$ 10,00","R$ 6,00","R$ 4,00",AMENDOIM JAPONES ELMA CHIPS 145 G,"R$ 15,00","R$ 7,29","R$ 7,71",Água Crystal Com Gás 500 mL,"R$ 5,00","R$ 1,89","R$ 3,11",LEZINHO,"0,5",DINHEIRO,"1,0000"
Barba,"R$ 50,00",Óleo para Barba Venice B.URB,"R$ 65,00","R$ 45,00","R$ 20,00",PÃO DE MEL DOCE DE LEITE URITS,"R$ 10,00","R$ 6,00","R$ 4,00",AMENDOIM SEM PELE ELMA CHIPS 100 G,"R$ 15,00","R$ 7,29","R$ 7,71",Red Bull 250 mL,"R$ 15,00","R$ 7,99","R$ 7,01",JORDI,"0,4",PIX MÁQUINA,"0,9900"
Perfil,"R$ 20,00",Pomada Queens B.URB,"R$ 75,00","R$ 46,00","R$ 29,00",PALHA ITALIANA TRADICIONAL URITS,"R$ 10,00","R$ 6,00","R$ 4,00",AMENDOIM OVINHO ELMA CHIPS 65 G,"R$ 15,00","R$ 7,29","R$ 7,71",Água Crystal Sem Gás 500 mL,"R$ 5,00","R$ 1,65","R$ 3,35",MARCOS,"0,4",CHAVE PIX,"1,0000"
Sobrancelha,"R$ 20,00",Pomada Brooklyn B.URB,"R$ 75,00","R$ 51,00","R$ 24,00",WAFFE URITS,"R$ 6,00","R$ 3,00","R$ 3,00",VAZIO,"R$ 0,00","R$ 0,00","R$ 0,00",Fanta Laranja 350 mL,"R$ 7,00","R$ 2,99","R$ 4,01",GUILHERME,"0,4",DÉBITO,"0,9850"
Higienização Facial,"R$ 50,00",Minoxidil Kirkland,"R$ 110,00","R$ 55,00","R$ 55,00",NOODLE NUTS URITS,"R$ 12,00","R$ 7,00","R$ 5,00",BATATA RUFFLES ORIGINAL 68 G,"R$ 15,00","R$ 8,99","R$ 6,01",Refrigerante Sprite 350 mL,"R$ 7,00","R$ 2,99","R$ 4,01",RAFAEL,"0,4",CRÉDITO 1X,"0,9725"
Corte+Barba,"R$ 90,00",PENTE MASSAGEADOR,"R$ 40,00","R$ 25,00","R$ 15,00",VAZIO,"R$ 0,00","R$ 0,00","R$ 0,00",DORITOS 75 G,"R$ 15,00","R$ 8,79","R$ 6,21",Yopro Café Expresso 250 mL,"R$ 12,00","R$ 5,99","R$ 6,01",,,CRÉDITO 2X,"0,9550"
Corte+Sobrancelha,"R$ 80,00",Máscara Black Red Nek,"R$ 65,00","R$ 40,30","R$ 24,70",BROWNIE CHOCOWAFER QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",BATATA PRINGLES ORIGINAL 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",Yopro Baunilha 250 mL,"R$ 12,00","R$ 5,99","R$ 6,01",,,CRÉDITO 3X,"0,9250"
Corte+Higienização facial,"R$ 110,00",Esfoliante Facial B.URB,"R$ 65,00","R$ 43,64","R$ 21,36",BROWNIE DOCE DE LEITE QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",BATATA PRINGLES CREME DE CEBOLA 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",Yopro Chocolate 250 mL,"R$ 12,00","R$ 5,99","R$ 6,01",,,MENSALISTA,"1,0000"
Barba+Sobrancelha,"R$ 70,00",Kit de Higienização Facial,"R$ 125,00","R$ 75,00","R$ 50,00",BROWNIE CREME DE AVELA QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",BATATA PRINGLES CHURRASCO 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",Yopro Morango 250 mL,"R$ 12,00","R$ 5,99","R$ 6,01",,,,
Barba+Perfil,"R$ 70,00",Leave-in B.URB,"R$ 65,00","R$ 40,00","R$ 25,00",BROWNIE BRIGADEIRO QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",BATATA PRINGLES CHEDDAR E BACON 105G,"R$ 15,00","R$ 10,40","R$ 4,60",Yopro Banana 250 mL,"R$ 12,00","R$ 5,99","R$ 6,01",,,,
Barba+Higienização facial,"R$ 100,00",Toppik,"R$ 130,00","R$ 100,00","R$ 30,00",BROWNIE CHOCOLATE MALTADO QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,Suco Natural One Laranja 180 mL,"R$ 6,00","R$ 2,99","R$ 3,01",,,,
Barboterapia,"R$ 100,00",Laque Charming 400 mL,"R$ 60,00","R$ 35,00","R$ 25,00",BROWNIE LEITE QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,Suco Natural One Uva 180 mL,"R$ 6,00","R$ 2,99","R$ 3,01",,,,
Corte+Barboterapia,"R$ 160,00",GEL COLA CRISTAL RED NEK,"R$ 20,00","R$ 10,00","R$ 10,00",,,,,,,,,Refrigerante Coca Cola sem Açúcar 350 mL,"R$ 7,00","R$ 3,75","R$ 3,25",,,,
Corte+Freestyle,"R$ 80,00",GELATINA PARA CACHOS INFINITY,"R$ 30,00","R$ 12,00","R$ 18,00",,,,,,,,,Refrigerante Coca Cola 350 mL,"R$ 7,00","R$ 3,85","R$ 3,15",,,,
Corte+Barba+Freestyle,"R$ 110,00",Máscara Hidratante de Coco Infinity,"R$ 40,00","R$ 12,00","R$ 28,00",,,,,,,,,Refrigerante Guaraná Antarctica 269 mL,"R$ 5,00","R$ 2,45","R$ 2,55",,,,
Serviço Livre,"R$ 0,00",Kit para Cabelo B.URB,"R$ 180,00","R$ 105,00","R$ 75,00",,,,,,,,,Chá Matte Leão Limão 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,
Corte+Barba+Sobrancelha,"R$ 110,00",Kit para Barba B.URB,"R$ 185,00","R$ 117,00","R$ 68,00",,,,,,,,,Chá Matte Leão Natural 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,
Corte+Barba+Hidratação,"R$ 120,00",Shampoo B.URB 250 mL,"R$ 60,00","R$ 40,00","R$ 20,00",,,,,,,,,Powerade Laranja 500 mL,"R$ 8,00","R$ 3,85","R$ 4,15",,,,
Corte+Hidratação,"R$ 90,00",Condicionador B.URB 250 mL,"R$ 60,00","R$ 40,00","R$ 20,00",,,,,,,,,Refrigerante Coca Cola 220 mL,"R$ 5,00","R$ 2,29","R$ 2,71",,,,
Hidratação,"R$ 30,00",VAZIO,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,Monster Ultra Watermelon 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,
Luzes,"R$ 100,00",PÃO DE MEL BRIGADEIRO URITS,"R$ 10,00","R$ 6,00","R$ 4,00",,,,,,,,,Monster Zero 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,
Corte+Luzes,"R$ 160,00",PÃO DE MEL DOCE DE LEITE URITS,"R$ 10,00","R$ 6,00","R$ 4,00",,,,,,,,,Monster Ultra 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,
Corte+Barba+Luzes,"R$ 190,00",PALHA ITALIANA TRADICIONAL URITS,"R$ 10,00","R$ 6,00","R$ 4,00",,,,,,,,,Monster Ultra Paradise 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,
Platinado,"R$ 250,00",WAFFE URITS,"R$ 6,00","R$ 3,00","R$ 3,00",,,,,,,,,Monster Pipeline Punch 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,
Corte+Platinado,"R$ 310,00",NOODLE NUTS URITS,"R$ 12,00","R$ 7,00","R$ 5,00",,,,,,,,,Gatorade Uva 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,
Luzes,"R$ 100,00",BROWNIE CHOCOWAFER QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Gatorade Limão 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,
Corte+Luzes,"R$ 160,00",BROWNIE DOCE DE LEITE QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Água de Coco Sococo 330 mL,"R$ 12,00","R$ 7,60","R$ 4,40",,,,
Corte+Barba+Luzes,"R$ 190,00",BROWNIE CREME DE AVELA QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Água de Coco Kero Coco 330 mL,"R$ 10,00","R$ 5,55","R$ 4,45",,,,
Platinado,"R$ 250,00",BROWNIE BRIGADEIRO QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Água de Coco Kero Coco 200 mL,"R$ 7,00","R$ 3,05","R$ 3,95",,,,
Corte+Platinado,"R$ 310,00",BROWNIE CHOCOLATE MALTADO QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Suco Del Valle Pessêgo 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,
Corte+Barba+Platinado,"R$ 340,00",BROWNIE LEITE QUERO+,"R$ 8,00","R$ 5,20","R$ 2,80",,,,,,,,,Suco Del Valle Manga 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,
Corte+Barba+Higienização Facial,"R$ 140,00",AMENDOIM JAPONES ELMA CHIPS 145 G,"R$ 15,00","R$ 7,29","R$ 7,71",,,,,,,,,Suco Del Valle Goiaba 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,
Corte só Máquina,"R$ 50,00",AMENDOIM SEM PELE ELMA CHIPS 100 G,"R$ 15,00","R$ 7,29","R$ 7,71",,,,,,,,,Bebida Lactea Toddynho 200 mL,"R$ 6,00","R$ 2,59","R$ 3,41",,,,
Alisamento Sódio,"R$ 60,00",AMENDOIM OVINHO ELMA CHIPS 65 G,"R$ 15,00","R$ 7,29","R$ 7,71",,,,,,,,,Fanta Uva 350 mL,"R$ 7,00","R$ 2,89","R$ 4,11",,,,
Corte+Alisamento Sódio,"R$ 120,00",Água Crystal Com Gás 500 mL,"R$ 5,00","R$ 1,89","R$ 3,11",,,,,,,,,VAZIO,"R$ 0,00","R$ 0,00","R$ 0,00",,,,
Serviço Mensalista,"R$ 0,01",Red Bull 250 mL,"R$ 15,00","R$ 7,99","R$ 7,01",,,,,,,,,Red Bull Zero 250 mL,"R$ 15,00","R$ 7,99","R$ 7,01",,,,
Atendimento a Domicílio,"R$ 0,01",Água Crystal Sem Gás 500 mL,"R$ 5,00","R$ 1,65","R$ 3,35",,,,,,,,,Monster Mango Loco 473 mL,"R$ 15,00","R$ 10,40","R$ 4,60",,,,
Corte+Alisamento Sódio,"R$ 120,00",Fanta Laranja 350 mL,"R$ 7,00","R$ 2,99","R$ 4,01",,,,,,,,,Chá Matte Leão Sabor Limão 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,
Corte+Barba+Alisamento Sódio,"R$ 150,00",Refrigerante Sprite 350 mL,"R$ 7,00","R$ 2,99","R$ 4,01",,,,,,,,,Guáraviton Ginseing,"R$ 8,00","R$ 4,50","R$ 3,50",,,,
Corte+Barba+Sobrancelha+Alisamento Sódio,"R$ 170,00",Yopro Café Expresso 250 mL,"R$ 15,00","R$ 5,99","R$ 9,01",,,,,,,,,Gatorade Laranja 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,
Maquiagem,"R$ 20,00",Yopro Baunilha 250 mL,"R$ 15,00","R$ 5,99","R$ 9,01",,,,,,,,,Monster 473 mL,"R$ 15,00","R$ 10,40","R$ 4,60",,,,
Corte+Maquiagem,"R$ 80,00",Yopro Chocolate 250 mL,"R$ 15,00","R$ 5,99","R$ 9,01",,,,,,,,,,,,,,,,
Corte+Barba+Maquiagem,"R$ 110,00",Yopro Morango 250 mL,"R$ 15,00","R$ 5,99","R$ 9,01",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Maquiagem,"R$ 130,00",Yopro Banana 250 mL,"R$ 15,00","R$ 5,99","R$ 9,01",,,,,,,,,,,,,,,,
Corte+Sobrancelha+Maquiagem,"R$ 100,00",Suco Natural One Laranja 180 mL,"R$ 6,00","R$ 2,99","R$ 3,01",,,,,,,,,,,,,,,,
Barba+Sobrancelha+Maquiagem,"R$ 90,00",Suco Natural One Uva 180 mL,"R$ 6,00","R$ 2,99","R$ 3,01",,,,,,,,,,,,,,,,
Barba+Maquiagem,"R$ 70,00",Refrigerante Coca Cola sem Açúcar 350 mL,"R$ 7,00","R$ 3,75","R$ 3,25",,,,,,,,,,,,,,,,
Penteado,"R$ 40,00",Refrigerante Coca Cola 350 mL,"R$ 7,00","R$ 3,85","R$ 3,15",,,,,,,,,,,,,,,,
Corte+Penteado,"R$ 80,00",Refrigerante Guaraná Antarctica 269 mL,"R$ 5,00","R$ 2,45","R$ 2,55",,,,,,,,,,,,,,,,
Corte+Barba+Penteado,"R$ 130,00",Chá Matte Leão Limão 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Penteado,"R$ 150,00",Chá Matte Leão Natural 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,,,,,,,,,,,,,
Corte+Sobrancelha+Penteado,"R$ 120,00",Powerade Laranja 500 mL,"R$ 8,00","R$ 3,85","R$ 4,15",,,,,,,,,,,,,,,,
Corte+Barba+Penteado+Maquiagem,"R$ 150,00",Refrigerante Coca Cola 220 mL,"R$ 5,00","R$ 2,29","R$ 2,71",,,,,,,,,,,,,,,,
